# Current_8500.csv run at 2000-09-01 12:00:00 PDT on 9883 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
T5138373C,0.000000,0.000000,0.000000,0.000000,0.338698,0.841371
T5391995A,0.732511,-1.148280,0.000000,0.000000,0.000000,0.000000
T225533423C,0.000000,0.000000,0.000000,0.000000,0.270198,0.866646
T5260568C,0.000000,0.000000,0.000000,0.000000,0.309870,0.842616
T5138754B,0.000000,0.000000,-2.209949,-0.242391,0.000000,0.000000
T5260552A,1.743799,-2.114439,0.000000,0.000000,0.000000,0.000000
T5338968C,0.000000,0.000000,0.000000,0.000000,0.861598,2.072078
T5247061A,0.863310,-1.088363,0.000000,0.000000,0.000000,0.000000
T5391746B,0.000000,0.000000,-0.609310,-0.060300,0.000000,0.000000
T5338941C,0.000000,0.000000,0.000000,0.000000,0.352575,0.837599
T5338982B,0.000000,0.000000,-1.457583,-0.055569,0.000000,0.000000
T5339008B,0.000000,0.000000,-0.881424,-0.031174,0.000000,0.000000
T21391094A,0.483918,-0.627034,0.000000,0.000000,0.000000,0.000000
T5138581A,0.805130,-1.040174,0.000000,0.000000,0.000000,0.000000
T5338979B,0.000000,0.000000,-0.579320,-0.024007,0.000000,0.000000
T226308720A,2.630918,-3.435570,0.000000,0.000000,0.000000,0.000000
T5355595B,0.000000,0.000000,-0.591959,0.000213,0.000000,0.000000
T2224387113A,1.094123,-1.679289,0.000000,0.000000,0.000000,0.000000
T21397005A,1.090596,-1.704905,0.000000,0.000000,0.000000,0.000000
T5274985C,0.000000,0.000000,0.000000,0.000000,0.325411,0.853215
T5321836A,0.439376,-0.685870,0.000000,0.000000,0.000000,0.000000
T225673440A,0.736938,-1.165243,0.000000,0.000000,0.000000,0.000000
T5337641C,0.000000,0.000000,0.000000,0.000000,0.333161,0.864052
T5293659C,0.000000,0.000000,0.000000,0.000000,0.356370,0.850118
T5339011B,0.000000,0.000000,-0.880687,-0.031342,0.000000,0.000000
T5218473A,0.881323,-0.951554,0.000000,0.000000,0.000000,0.000000
T28121587A,0.434828,-0.674423,0.000000,0.000000,0.000000,0.000000
T2224230689C,0.000000,0.000000,0.000000,0.000000,1.774210,4.219719
T227734175B,0.000000,0.000000,-1.473572,-0.052081,0.000000,0.000000
T5337694B,0.000000,0.000000,-0.899873,-0.002902,0.000000,0.000000
T21357515A,0.725687,-1.108381,0.000000,0.000000,0.000000,0.000000
T28127390C,0.000000,0.000000,0.000000,0.000000,0.340875,0.844321
T21387929C,0.000000,0.000000,0.000000,0.000000,0.332669,0.863366
T5355605B,0.000000,0.000000,-1.487267,0.000252,0.000000,0.000000
T5260630B,0.000000,0.000000,-0.856146,-0.157578,0.000000,0.000000
T5337660C,0.000000,0.000000,0.000000,0.000000,0.609314,1.405716
T5293663C,0.000000,0.000000,0.000000,0.000000,0.356379,0.850136
T5138719A,0.809134,-1.064149,0.000000,0.000000,0.000000,0.000000
T5251858C,0.000000,0.000000,0.000000,0.000000,0.449717,1.446122
T5302804C,0.000000,0.000000,0.000000,0.000000,0.856026,2.124098
T5356062B,0.000000,0.000000,-1.466326,-0.004536,0.000000,0.000000
T5346639C,0.000000,0.000000,0.000000,0.000000,0.263193,0.856590
T5302508C,0.000000,0.000000,0.000000,0.000000,0.579222,1.404581
T5321881A,0.736706,-1.163695,0.000000,0.000000,0.000000,0.000000
T5355433C,0.000000,0.000000,0.000000,0.000000,1.189492,2.810719
T21398402A,0.443823,-0.685304,0.000000,0.000000,0.000000,0.000000
T21398563A,0.742322,-1.157003,0.000000,0.000000,0.000000,0.000000
T21386771B,0.000000,0.000000,-0.887428,-0.007351,0.000000,0.000000
T5260648A,0.872110,-1.013428,0.000000,0.000000,0.000000,0.000000
T5293490C,0.000000,0.000000,0.000000,0.000000,0.580427,1.405267
T225901711A,0.442277,-0.694571,0.000000,0.000000,0.000000,0.000000
T227902981A,1.102374,-1.727298,0.000000,0.000000,0.000000,0.000000
T5321853B,0.000000,0.000000,-1.473056,-0.003626,0.000000,0.000000
T2224237653A,1.085893,-1.680325,0.000000,0.000000,0.000000,0.000000
T2224386592A,0.727153,-1.115512,0.000000,0.000000,0.000000,0.000000
T5391990A,0.439885,-0.685943,0.000000,0.000000,0.000000,0.000000
T226881057B,0.000000,0.000000,-0.907851,-0.000428,0.000000,0.000000
T225533531A,0.728324,-1.139161,0.000000,0.000000,0.000000,0.000000
T5247056A,0.517735,-0.649114,0.000000,0.000000,0.000000,0.000000
T227905262A,0.736160,-1.161756,0.000000,0.000000,0.000000,0.000000
T21469960B,0.000000,0.000000,-1.510347,-0.006020,0.000000,0.000000
T5260511C,0.000000,0.000000,0.000000,0.000000,0.321230,0.847426
T5138346C,0.000000,0.000000,0.000000,0.000000,0.338529,0.841133
T225806974A,0.290686,-0.454919,0.000000,0.000000,0.000000,0.000000
T5355944B,0.000000,0.000000,-1.454608,-0.012043,0.000000,0.000000
T5138569A,0.483596,-0.622401,0.000000,0.000000,0.000000,0.000000
T5337625C,0.000000,0.000000,0.000000,0.000000,0.553232,1.439832
T5321874A,0.735440,-1.159492,0.000000,0.000000,0.000000,0.000000
T5337713C,0.000000,0.000000,0.000000,0.000000,0.359769,0.839768
T5391757B,0.000000,0.000000,-0.603081,-0.061282,0.000000,0.000000
T5338998B,0.000000,0.000000,-1.465310,-0.053932,0.000000,0.000000
T5356064B,0.000000,0.000000,-1.470165,-0.003681,0.000000,0.000000
T5323275B,0.000000,0.000000,-1.510435,-0.005997,0.000000,0.000000
T21389237A,0.856790,-1.052301,0.000000,0.000000,0.000000,0.000000
T2224230615C,0.000000,0.000000,0.000000,0.000000,1.176635,2.794273
T5260463B,0.000000,0.000000,-0.843358,-0.173696,0.000000,0.000000
T5302402A,0.495928,-0.648077,0.000000,0.000000,0.000000,0.000000
T5355599B,0.000000,0.000000,-1.487810,0.000393,0.000000,0.000000
T21393412B,0.000000,0.000000,-1.421777,-0.185522,0.000000,0.000000
T5356807A,0.859973,-1.169717,0.000000,0.000000,0.000000,0.000000
T5293660B,0.000000,0.000000,-1.454516,-0.027278,0.000000,0.000000
T227731863A,1.095031,-1.677287,0.000000,0.000000,0.000000,0.000000
T227760021A,1.744641,-2.278568,0.000000,0.000000,0.000000,0.000000
T227760021B,0.000000,0.000000,-3.029478,-0.330845,0.000000,0.000000
T227760021C,0.000000,0.000000,0.000000,0.000000,1.058569,2.830883
T5391980A,0.443139,-0.683995,0.000000,0.000000,0.000000,0.000000
T5338984A,0.764513,-1.109248,0.000000,0.000000,0.000000,0.000000
T5337702B,0.000000,0.000000,-1.513462,-0.002369,0.000000,0.000000
T5337696B,0.000000,0.000000,-0.902427,-0.002256,0.000000,0.000000
T225577437C,0.000000,0.000000,0.000000,0.000000,0.565613,1.406158
T5337676A,0.733471,-1.120713,0.000000,0.000000,0.000000,0.000000
T5323418A,0.736101,-1.114311,0.000000,0.000000,0.000000,0.000000
T226192936B,0.000000,0.000000,-1.451351,-0.025409,0.000000,0.000000
T5337706B,0.000000,0.000000,-1.515832,-0.001332,0.000000,0.000000
T5339010B,0.000000,0.000000,-2.950624,-0.109495,0.000000,0.000000
T5391987A,0.738236,-1.145114,0.000000,0.000000,0.000000,0.000000
T5310569A,0.739871,-1.149509,0.000000,0.000000,0.000000,0.000000
T225869139A,0.442483,-0.695902,0.000000,0.000000,0.000000,0.000000
T5337708B,0.000000,0.000000,-0.908382,-0.000193,0.000000,0.000000
T226308719B,0.000000,0.000000,-4.572650,-0.500160,0.000000,0.000000
T5337630C,0.000000,0.000000,0.000000,0.000000,0.331914,0.862313
T5138655A,0.483176,-0.622049,0.000000,0.000000,0.000000,0.000000
T226194826A,0.861441,-1.141260,0.000000,0.000000,0.000000,0.000000
T5356808A,1.294050,-1.758693,0.000000,0.000000,0.000000,0.000000
T5355593B,0.000000,0.000000,-0.888840,-0.000128,0.000000,0.000000
T5356787C,0.000000,0.000000,0.000000,0.000000,0.451514,1.448974
T5321845B,0.000000,0.000000,-1.504798,-0.007380,0.000000,0.000000
T5337720A,0.445492,-0.690313,0.000000,0.000000,0.000000,0.000000
T5337631C,0.000000,0.000000,0.000000,0.000000,0.221276,0.574625
T21486213B,0.000000,0.000000,-0.907249,-0.000693,0.000000,0.000000
T28127319B,0.000000,0.000000,-1.473753,-0.003809,0.000000,0.000000
T5337666B,0.000000,0.000000,-1.481924,-0.012705,0.000000,0.000000
T5356809A,0.860015,-1.152848,0.000000,0.000000,0.000000,0.000000
T5323397B,0.000000,0.000000,-1.515237,-0.004768,0.000000,0.000000
T5337692B,0.000000,0.000000,-0.597729,-0.002081,0.000000,0.000000
T5339042B,0.000000,0.000000,-1.425127,-0.115308,0.000000,0.000000
T5260501B,0.000000,0.000000,-1.465585,-0.225577,0.000000,0.000000
T2224230754C,0.000000,0.000000,0.000000,0.000000,0.881047,2.090045
T5138563A,0.806430,-1.043283,0.000000,0.000000,0.000000,0.000000
T5338936C,0.000000,0.000000,0.000000,0.000000,0.583437,1.385477
T5247185B,0.000000,0.000000,-0.889626,-0.128575,0.000000,0.000000
T21482181A,0.866480,-1.133405,0.000000,0.000000,0.000000,0.000000
T5323280B,0.000000,0.000000,-1.514093,-0.005062,0.000000,0.000000
T5138264B,0.000000,0.000000,-1.523948,-0.203461,0.000000,0.000000
T5337679A,0.440317,-0.669348,0.000000,0.000000,0.000000,0.000000
T21357984C,0.000000,0.000000,0.000000,0.000000,0.560983,1.380547
T5260553C,0.000000,0.000000,0.000000,0.000000,0.302150,0.844118
T5293523A,0.815484,-1.072710,0.000000,0.000000,0.000000,0.000000
T5302507B,0.000000,0.000000,-1.502297,-0.156326,0.000000,0.000000
T2224387019A,0.727436,-1.117240,0.000000,0.000000,0.000000,0.000000
T5355431C,0.000000,0.000000,0.000000,0.000000,0.890883,2.102599
T5138404C,0.000000,0.000000,0.000000,0.000000,0.563746,1.403628
T5138574A,0.805392,-1.040788,0.000000,0.000000,0.000000,0.000000
T5138466C,0.000000,0.000000,0.000000,0.000000,0.565417,1.405893
T21397721A,0.439830,-0.685856,0.000000,0.000000,0.000000,0.000000
T5337684A,0.732403,-1.118950,0.000000,0.000000,0.000000,0.000000
T5339051C,0.000000,0.000000,0.000000,0.000000,0.555923,1.385269
T5337623C,0.000000,0.000000,0.000000,0.000000,0.330190,0.859914
T226308725B,0.000000,0.000000,-4.575062,-0.498953,0.000000,0.000000
T5356804A,0.859757,-1.169175,0.000000,0.000000,0.000000,0.000000
T5355604B,0.000000,0.000000,-0.890616,0.000409,0.000000,0.000000
T21459660C,0.000000,0.000000,0.000000,0.000000,1.886195,4.289761
T5337636C,0.000000,0.000000,0.000000,0.000000,0.837022,2.174601
T5260505C,0.000000,0.000000,0.000000,0.000000,0.525203,1.411336
T5325245B,0.000000,0.000000,-0.603787,-0.001572,0.000000,0.000000
T21385192C,0.000000,0.000000,0.000000,0.000000,0.332355,0.862927
T5260496B,0.000000,0.000000,-0.583619,-0.089647,0.000000,0.000000
T21399220C,0.000000,0.000000,0.000000,0.000000,0.353633,0.840955
T5337655C,0.000000,0.000000,0.000000,0.000000,0.361206,0.840120
T5330122B,0.000000,0.000000,-0.852410,-0.110782,0.000000,0.000000
T28148060C,0.000000,0.000000,0.000000,0.000000,0.328233,0.857168
T5302674A,0.816971,-1.075100,0.000000,0.000000,0.000000,0.000000
T5355601B,0.000000,0.000000,-0.890675,0.000425,0.000000,0.000000
T225533703C,0.000000,0.000000,0.000000,0.000000,0.608813,1.405358
T5356814C,0.000000,0.000000,0.000000,0.000000,0.532743,1.403886
T226196648A,0.741866,-1.155614,0.000000,0.000000,0.000000,0.000000
T5321861C,0.000000,0.000000,0.000000,0.000000,0.358784,0.842044
T5355840B,0.000000,0.000000,-1.457021,-0.010250,0.000000,0.000000
T21243817A,0.519912,-0.622508,0.000000,0.000000,0.000000,0.000000
T5260589B,0.000000,0.000000,-0.892993,-0.107013,0.000000,0.000000
T5338961C,0.000000,0.000000,0.000000,0.000000,0.604464,1.406196
T5337723A,0.444582,-0.687576,0.000000,0.000000,0.000000,0.000000
T5138573A,0.805542,-1.041151,0.000000,0.000000,0.000000,0.000000
T5321888C,0.000000,0.000000,0.000000,0.000000,0.602229,1.410925
T28148580B,0.000000,0.000000,-1.498374,-0.006413,0.000000,0.000000
T28126875B,0.000000,0.000000,-1.504645,-0.007446,0.000000,0.000000
T2224192013A,0.439302,-0.685640,0.000000,0.000000,0.000000,0.000000
T5260532C,0.000000,0.000000,0.000000,0.000000,0.303358,0.844636
T21389831A,0.513961,-0.628114,0.000000,0.000000,0.000000,0.000000
T21396331B,0.000000,0.000000,-1.466595,-0.161085,0.000000,0.000000
T227732939B,0.000000,0.000000,-2.277046,-0.004109,0.000000,0.000000
T5321856B,0.000000,0.000000,-0.882506,-0.001887,0.000000,0.000000
T5260625C,0.000000,0.000000,0.000000,0.000000,0.283676,0.846278
T5338950B,0.000000,0.000000,-1.455716,-0.023494,0.000000,0.000000
T226194419C,0.000000,0.000000,0.000000,0.000000,0.516597,1.408227
T5275247B,0.000000,0.000000,-1.421879,-0.185519,0.000000,0.000000
T5260518C,0.000000,0.000000,0.000000,0.000000,0.506409,1.411377
T5138259C,0.000000,0.000000,0.000000,0.000000,0.333579,0.836724
T5338926A,0.434439,-0.660987,0.000000,0.000000,0.000000,0.000000
T5321855B,0.000000,0.000000,-0.882420,-0.001924,0.000000,0.000000
T5356800A,0.859105,-1.167537,0.000000,0.000000,0.000000,0.000000
T5339047A,0.766341,-1.087612,0.000000,0.000000,0.000000,0.000000
T5321894C,0.000000,0.000000,0.000000,0.000000,0.602504,1.411183
T5337627C,0.000000,0.000000,0.000000,0.000000,0.553638,1.440398
T5355358B,0.000000,0.000000,-0.588016,-0.000793,0.000000,0.000000
T22112371533C,0.000000,0.000000,0.000000,0.000000,0.564871,1.405115
T5323274B,0.000000,0.000000,-0.902006,-0.003939,0.000000,0.000000
T21396015A,0.813611,-1.070251,0.000000,0.000000,0.000000,0.000000
T2224387074A,0.727467,-1.117430,0.000000,0.000000,0.000000,0.000000
T5323237B,0.000000,0.000000,-0.907002,-0.002650,0.000000,0.000000
T5338949B,0.000000,0.000000,-0.870728,-0.014298,0.000000,0.000000
T5356015A,0.723869,-1.127948,0.000000,0.000000,0.000000,0.000000
T5138718C,0.000000,0.000000,0.000000,0.000000,0.578861,1.399920
T5338959C,0.000000,0.000000,0.000000,0.000000,0.604368,1.406072
T5157718B,0.000000,0.000000,-1.408018,-0.290411,0.000000,0.000000
T5321884C,0.000000,0.000000,0.000000,0.000000,0.902952,2.120923
T5207286C,0.000000,0.000000,0.000000,0.000000,0.214485,0.563212
T5323263A,0.735949,-1.113865,0.000000,0.000000,0.000000,0.000000
T21399707A,0.724385,-1.131658,0.000000,0.000000,0.000000,0.000000
T226191772C,0.000000,0.000000,0.000000,0.000000,0.352902,0.833884
T5293667A,0.443166,-0.683620,0.000000,0.000000,0.000000,0.000000
T5293424C,0.000000,0.000000,0.000000,0.000000,0.871324,2.114110
T5337709B,0.000000,0.000000,-0.908558,-0.000115,0.000000,0.000000
T5323391B,0.000000,0.000000,-2.283362,-0.006929,0.000000,0.000000
T28147899C,0.000000,0.000000,0.000000,0.000000,0.314031,0.841445
T226308717A,1.742230,-2.277004,0.000000,0.000000,0.000000,0.000000
T28147018B,0.000000,0.000000,-0.880811,-0.095843,0.000000,0.000000
T21396815C,0.000000,0.000000,0.000000,0.000000,0.349809,0.829403
T5247184C,0.000000,0.000000,0.000000,0.000000,0.541328,1.416110
T5339043C,0.000000,0.000000,0.000000,0.000000,0.544813,1.389954
T5302405A,0.495928,-0.648077,0.000000,0.000000,0.000000,0.000000
T227917127C,0.000000,0.000000,0.000000,0.000000,1.246565,2.837214
T5356788C,0.000000,0.000000,0.000000,0.000000,0.180311,0.577782
T5321886C,0.000000,0.000000,0.000000,0.000000,0.601597,1.410332
T5293657B,0.000000,0.000000,-0.870958,-0.016057,0.000000,0.000000
T5138237B,0.000000,0.000000,-0.850421,-0.111035,0.000000,0.000000
T5310560A,0.444384,-0.687007,0.000000,0.000000,0.000000,0.000000
T5260598A,1.298732,-1.690267,0.000000,0.000000,0.000000,0.000000
T5302373B,0.000000,0.000000,-0.903323,-0.092748,0.000000,0.000000
T5260476A,0.517238,-0.625625,0.000000,0.000000,0.000000,0.000000
T21389092B,0.000000,0.000000,-1.464999,-0.225415,0.000000,0.000000
T5356063C,0.000000,0.000000,0.000000,0.000000,0.355400,0.836756
T2223878647B,0.000000,0.000000,-0.907543,-0.002512,0.000000,0.000000
T5354851B,0.000000,0.000000,-1.487789,0.000388,0.000000,0.000000
T5338997B,0.000000,0.000000,-2.945050,-0.110654,0.000000,0.000000
T226193422B,0.000000,0.000000,-0.908330,-0.002311,0.000000,0.000000
T5391745B,0.000000,0.000000,-1.529499,-0.152141,0.000000,0.000000
T5251855C,0.000000,0.000000,0.000000,0.000000,0.539275,1.394069
T5339006B,0.000000,0.000000,-1.473610,-0.052085,0.000000,0.000000
T5355437C,0.000000,0.000000,0.000000,0.000000,0.592120,1.397013
T5391752B,0.000000,0.000000,-1.522411,-0.153246,0.000000,0.000000
T5338920A,0.436921,-0.662892,0.000000,0.000000,0.000000,0.000000
T5338925A,0.435177,-0.661613,0.000000,0.000000,0.000000,0.000000
T5138685A,0.484882,-0.633751,0.000000,0.000000,0.000000,0.000000
T5338992B,0.000000,0.000000,-0.877435,-0.032073,0.000000,0.000000
T5260513C,0.000000,0.000000,0.000000,0.000000,0.321256,0.847463
T5302809C,0.000000,0.000000,0.000000,0.000000,0.340389,0.843662
T5323388B,0.000000,0.000000,-1.518363,-0.003962,0.000000,0.000000
T5138265A,0.864700,-1.095708,0.000000,0.000000,0.000000,0.000000
T5338970A,0.715938,-1.077084,0.000000,0.000000,0.000000,0.000000
T228445756C,0.000000,0.000000,0.000000,0.000000,0.338252,0.840732
T5138771A,0.487306,-0.637887,0.000000,0.000000,0.000000,0.000000
T21471907A,0.730253,-1.117744,0.000000,0.000000,0.000000,0.000000
T22112168880C,0.000000,0.000000,0.000000,0.000000,1.174996,2.790683
T5302469A,0.496323,-0.648996,0.000000,0.000000,0.000000,0.000000
T5323286B,0.000000,0.000000,-0.884094,-0.030576,0.000000,0.000000
T5302735A,0.810825,-1.066558,0.000000,0.000000,0.000000,0.000000
T5260529C,0.000000,0.000000,0.000000,0.000000,0.202250,0.562883
T5338933B,0.000000,0.000000,-2.178305,-0.027218,0.000000,0.000000
T5247059A,0.863255,-1.088236,0.000000,0.000000,0.000000,0.000000
T226024307B,0.000000,0.000000,-0.883402,-0.095448,0.000000,0.000000
T5294788A,1.090400,-1.704285,0.000000,0.000000,0.000000,0.000000
T5321890C,0.000000,0.000000,0.000000,0.000000,0.905355,2.123532
T5337678A,0.733513,-1.120839,0.000000,0.000000,0.000000,0.000000
T5328364C,0.000000,0.000000,0.000000,0.000000,0.540282,1.401711
T5138374C,0.000000,0.000000,0.000000,0.000000,0.565283,1.405739
T5355603B,0.000000,0.000000,-2.236371,-0.000526,0.000000,0.000000
T5338999B,0.000000,0.000000,-0.583910,-0.021223,0.000000,0.000000
T5260586B,0.000000,0.000000,-2.242480,-0.270312,0.000000,0.000000
T5338995B,0.000000,0.000000,-0.583077,-0.021403,0.000000,0.000000
T5260484A,0.515885,-0.626548,0.000000,0.000000,0.000000,0.000000
