# Voltage_8500.csv run at 2000-09-01 12:00:00 PDT on 9883 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
SX3254210C,16.428736,114.540456,16.428736,114.540456,0.000000,0.000000
SX3048206A,90.546724,-71.552657,90.546724,-71.552657,0.000000,0.000000
SX2710510C,16.353870,114.689151,16.353870,114.689151,0.000000,0.000000
SX3197628C,16.247816,114.299642,16.247816,114.299642,0.000000,0.000000
SX2766718C,16.024806,114.012792,16.024806,114.012792,0.000000,0.000000
SX3010556A,91.335391,-71.593235,91.335391,-71.593235,0.000000,0.000000
SX2710520A,89.652937,-71.332379,89.652937,-71.332379,0.000000,0.000000
SX2710521A,89.231797,-71.345804,89.231797,-71.345804,0.000000,0.000000
SX3085396A,89.228261,-71.344234,89.228261,-71.344234,0.000000,0.000000
SX3122813A,89.636459,-71.325133,89.636459,-71.325133,0.000000,0.000000
SX3254219C,16.832387,114.092525,16.832387,114.092525,0.000000,0.000000
SX3254220C,16.833019,114.090224,16.833019,114.090224,0.000000,0.000000
SX3104134C,16.840149,114.115430,16.840149,114.115430,0.000000,0.000000
SX2860490A,88.993860,-71.252789,88.993860,-71.252789,0.000000,0.000000
SX3254218A,89.087255,-71.321413,89.087255,-71.321413,0.000000,0.000000
SX3066818B,-106.301717,-39.419880,-106.301717,-39.419880,0.000000,0.000000
SX2785528B,-106.321445,-39.315010,-106.321445,-39.315010,0.000000,0.000000
SX2748130B,-106.061550,-39.252457,-106.061550,-39.252457,0.000000,0.000000
SX3254212B,-105.737524,-39.175214,-105.737524,-39.175214,0.000000,0.000000
SX2785520B,-106.197526,-39.169636,-106.197526,-39.169636,0.000000,0.000000
SX2729411A,88.882202,-71.239178,88.882202,-71.239178,0.000000,0.000000
SX2897781A,88.882340,-71.239228,88.882340,-71.239228,0.000000,0.000000
SX3197644A,89.053175,-70.967590,89.053175,-70.967590,0.000000,0.000000
SX3010566C,15.841010,114.100372,15.841010,114.100372,0.000000,0.000000
SX3236011B,-104.060281,-43.192570,-104.060281,-43.192570,0.000000,0.000000
SX3198358B,-103.476156,-43.026957,-103.476156,-43.026957,0.000000,0.000000
SX3104859B,-104.043402,-43.179732,-104.043402,-43.179732,0.000000,0.000000
SX2936275B,-105.154533,-50.626564,-105.154533,-50.626564,0.000000,0.000000
SX3179674B,-104.782463,-50.496252,-104.782463,-50.496252,0.000000,0.000000
SX2748840B,-104.999780,-50.548649,-104.999780,-50.548649,0.000000,0.000000
SX3142099B,-104.763783,-50.474390,-104.763783,-50.474390,0.000000,0.000000
SX3011298C,13.695443,115.224728,13.695443,115.224728,0.000000,0.000000
SX2711234B,-103.818898,-43.132574,-103.818898,-43.132574,0.000000,0.000000
SX3198355B,-104.197787,-43.236326,-104.197787,-43.236326,0.000000,0.000000
SX2879773A,89.788240,-67.401897,89.788240,-67.401897,0.000000,0.000000
SX2786274C,13.348674,115.049368,13.348674,115.049368,0.000000,0.000000
SX3179682C,13.412048,115.310487,13.412048,115.310487,0.000000,0.000000
SX2936270A,98.418771,-64.215505,98.418771,-64.215505,0.000000,0.000000
SX3086078A,98.410436,-64.212718,98.410436,-64.212718,0.000000,0.000000
SX3217056A,97.954696,-63.834169,97.954696,-63.834169,0.000000,0.000000
SX3217057A,98.659066,-64.431626,98.659066,-64.431626,0.000000,0.000000
SX2936268C,6.505081,118.013359,6.505081,118.013359,0.000000,0.000000
SX2823592A,99.856027,-64.153628,99.856027,-64.153628,0.000000,0.000000
SX3160863C,5.888664,118.037840,5.888664,118.037840,0.000000,0.000000
SX2730108C,5.962966,117.674873,5.962966,117.674873,0.000000,0.000000
SX2786204C,5.878961,116.992935,5.878961,116.992935,0.000000,0.000000
SX2936216C,6.033200,117.576693,6.033200,117.576693,0.000000,0.000000
SX3029498C,14.356496,113.499779,14.356496,113.499779,0.000000,0.000000
SX2991912A,87.511886,-66.795295,87.511886,-66.795295,0.000000,0.000000
SX3104128A,87.495899,-66.788539,87.495899,-66.788539,0.000000,0.000000
SX2673315A,87.312369,-67.067549,87.312369,-67.067549,0.000000,0.000000
SX2766721A,87.037244,-66.802152,87.037244,-66.802152,0.000000,0.000000
SX2991906A,87.290588,-67.058402,87.290588,-67.058402,0.000000,0.000000
SX2879054A,87.027127,-66.797971,87.027127,-66.797971,0.000000,0.000000
SX3254211B,-105.721564,-39.015599,-105.721564,-39.015599,0.000000,0.000000
SX2729407B,-105.912909,-39.029570,-105.912909,-39.029570,0.000000,0.000000
SX2691942B,-105.814479,-38.960815,-105.814479,-38.960815,0.000000,0.000000
SX3197629B,-105.778080,-38.934457,-105.778080,-38.934457,0.000000,0.000000
SX2879065B,-105.908043,-38.967120,-105.908043,-38.967120,0.000000,0.000000
SX0247160B,-105.655351,-38.815531,-105.655351,-38.815531,0.000000,0.000000
SX0247162B,-105.645610,-38.806090,-105.645610,-38.806090,0.000000,0.000000
SX2766732B,-105.754220,-38.817254,-105.754220,-38.817254,0.000000,0.000000
SX2897784B,-105.038433,-38.645877,-105.038433,-38.645877,0.000000,0.000000
SX0247171B,-105.619926,-38.781193,-105.619926,-38.781193,0.000000,0.000000
SX2936279C,13.747037,114.439490,13.747037,114.439490,0.000000,0.000000
SX3179678B,-103.289906,-42.348318,-103.289906,-42.348318,0.000000,0.000000
SX3179650B,-104.163576,-37.809884,-104.163576,-37.809884,0.000000,0.000000
SX2730107C,14.404676,116.014701,14.404676,116.014701,0.000000,0.000000
SX3048888C,6.519855,115.360607,6.519855,115.360607,0.000000,0.000000
SX3064514C,6.516529,115.377455,6.516529,115.377455,0.000000,0.000000
SX2861158C,6.450535,115.204364,6.450535,115.204364,0.000000,0.000000
SX2952007C,6.449288,115.210541,6.449288,115.210541,0.000000,0.000000
SX3254873C,6.430115,115.670609,6.430115,115.670609,0.000000,0.000000
SX2745811C,6.389814,115.376132,6.389814,115.376132,0.000000,0.000000
SX3142050C,6.417099,115.736545,6.417099,115.736545,0.000000,0.000000
SX2861157C,6.216323,116.190753,6.216323,116.190753,0.000000,0.000000
SX3086079B,-105.183801,-50.651515,-105.183801,-50.651515,0.000000,0.000000
SX2936276B,-105.182757,-50.650626,-105.182757,-50.650626,0.000000,0.000000
SX2861223B,-104.795634,-50.509234,-104.795634,-50.509234,0.000000,0.000000
SX3086075B,-105.001097,-50.550195,-105.001097,-50.550195,0.000000,0.000000
SX2730187A,92.913148,-65.534976,92.913148,-65.534976,0.000000,0.000000
SX3104856A,93.545606,-65.694293,93.545606,-65.694293,0.000000,0.000000
SX2861222A,89.999244,-66.532458,89.999244,-66.532458,0.000000,0.000000
SX2917330A,90.222199,-66.743071,90.222199,-66.743071,0.000000,0.000000
SX2879794A,90.017990,-66.540013,90.017990,-66.540013,0.000000,0.000000
SX2936271A,90.697917,-66.738736,90.697917,-66.738736,0.000000,0.000000
SX2955074A,90.046645,-66.624283,90.046645,-66.624283,0.000000,0.000000
SX3030199C,12.270830,115.594636,12.270830,115.594636,0.000000,0.000000
SX2730163C,12.380701,115.541416,12.380701,115.541416,0.000000,0.000000
SX2992624A,90.580221,-66.933183,90.580221,-66.933183,0.000000,0.000000
SX2692654A,90.553816,-66.956857,90.553816,-66.956857,0.000000,0.000000
SX2842379A,89.908909,-66.777976,89.908909,-66.777976,0.000000,0.000000
SX2805031C,12.510880,115.114205,12.510880,115.114205,0.000000,0.000000
SX3068944B,-103.637564,-43.664977,-103.637564,-43.664977,0.000000,0.000000
SX2767407B,-104.349214,-43.871730,-104.349214,-43.871730,0.000000,0.000000
SX2879767B,-104.350292,-43.872559,-104.350292,-43.872559,0.000000,0.000000
SX2711224B,-104.312775,-43.843983,-104.312775,-43.843983,0.000000,0.000000
SX3142098B,-103.920588,-43.727471,-103.920588,-43.727471,0.000000,0.000000
SX2748839B,-104.299360,-43.833703,-104.299360,-43.833703,0.000000,0.000000
SX2917310B,-104.171062,-43.796051,-104.171062,-43.796051,0.000000,0.000000
SX2861218C,12.817350,115.329652,12.817350,115.329652,0.000000,0.000000
SX2955081A,90.338043,-67.273701,90.338043,-67.273701,0.000000,0.000000
SX3160878C,13.472482,114.864439,13.472482,114.864439,0.000000,0.000000
SX2917336C,13.473289,114.858706,13.473289,114.858706,0.000000,0.000000
SX2674047C,11.801241,116.117479,11.801241,116.117479,0.000000,0.000000
SX3160865A,90.503911,-66.590059,90.503911,-66.590059,0.000000,0.000000
SX2767408C,11.569515,116.219140,11.569515,116.219140,0.000000,0.000000
SX3104853C,11.509626,115.966133,11.509626,115.966133,0.000000,0.000000
SX3254915B,-104.645677,-44.406359,-104.645677,-44.406359,0.000000,0.000000
SX3048963B,-104.396716,-44.338273,-104.396716,-44.338273,0.000000,0.000000
SX2711226B,-104.184630,-44.351374,-104.184630,-44.351374,0.000000,0.000000
SX3217052C,11.511867,115.951894,11.511867,115.951894,0.000000,0.000000
SX3217053C,11.600501,116.342560,11.600501,116.342560,0.000000,0.000000
SX3086074C,11.570652,116.211979,11.570652,116.211979,0.000000,0.000000
SX3067507C,11.347164,115.687377,11.347164,115.687377,0.000000,0.000000
SX2955078A,90.696346,-66.379299,90.696346,-66.379299,0.000000,0.000000
SX2955077C,11.174982,116.154415,11.174982,116.154415,0.000000,0.000000
SX3160872C,11.206226,115.796075,11.206226,115.796075,0.000000,0.000000
SX3198348A,89.495595,-66.023387,89.495595,-66.023387,0.000000,0.000000
SX2711225C,11.457326,116.340459,11.457326,116.340459,0.000000,0.000000
SX3030200C,11.457785,116.337586,11.457785,116.337586,0.000000,0.000000
SX3048962A,89.323166,-66.262463,89.323166,-66.262463,0.000000,0.000000
SX3160861C,11.796716,116.384841,11.796716,116.384841,0.000000,0.000000
SX3104850C,11.758750,115.955564,11.758750,115.955564,0.000000,0.000000
SX3251799A,87.420046,-66.390391,87.420046,-66.390391,0.000000,0.000000
SX2936211C,12.446918,116.081114,12.446918,116.081114,0.000000,0.000000
SX2842329C,12.447248,116.078824,12.447248,116.078824,0.000000,0.000000
SX3104796C,12.463638,115.805345,12.463638,115.805345,0.000000,0.000000
SX3236004C,12.447014,116.080449,12.447014,116.080449,0.000000,0.000000
SX3160896C,12.524320,116.062316,12.524320,116.062316,0.000000,0.000000
SX3123452C,12.581315,115.790168,12.581315,115.790168,0.000000,0.000000
SX3254869B,-104.256573,-40.122943,-104.256573,-40.122943,0.000000,0.000000
SX3030126C,12.752427,115.744097,12.752427,115.744097,0.000000,0.000000
SX2767341C,12.645387,115.440245,12.645387,115.440245,0.000000,0.000000
SX3254870C,12.753287,115.738229,12.753287,115.738229,0.000000,0.000000
SX3048887B,-103.655911,-39.672477,-103.655911,-39.672477,0.000000,0.000000
SX2955005B,-104.227759,-39.806973,-104.227759,-39.806973,0.000000,0.000000
SX3216988B,-103.963926,-39.740212,-103.963926,-39.740212,0.000000,0.000000
SX3179607B,-103.964421,-39.740565,-103.964421,-39.740565,0.000000,0.000000
SX2898457A,84.963134,-67.045496,84.963134,-67.045496,0.000000,0.000000
SX2767340A,83.805201,-65.872005,83.805201,-65.872005,0.000000,0.000000
SX2767340B,-102.640620,-38.891274,-102.640620,-38.891274,0.000000,0.000000
SX2767340C,12.622203,114.405366,12.622203,114.405366,0.000000,0.000000
SX3067478A,84.024068,-66.580597,84.024068,-66.580597,0.000000,0.000000
SX2730149C,13.203173,115.954384,13.203173,115.954384,0.000000,0.000000
SX2989566B,-104.029030,-38.410757,-104.029030,-38.410757,0.000000,0.000000
SX2973791A,82.846912,-66.422576,82.846912,-66.422576,0.000000,0.000000
SX3029055B,-103.671178,-39.976843,-103.671178,-39.976843,0.000000,0.000000
SX3067506C,9.159773,117.209140,9.159773,117.209140,0.000000,0.000000
SX2898515C,9.084356,116.794134,9.084356,116.794134,0.000000,0.000000
SX3198347C,9.138712,117.046281,9.138712,117.046281,0.000000,0.000000
SX3048946C,9.138549,117.047187,9.138549,117.047187,0.000000,0.000000
SX3048966C,9.133990,117.072427,9.133990,117.072427,0.000000,0.000000
SX2992656A,92.921288,-65.538082,92.921288,-65.538082,0.000000,0.000000
SX2973833B,-104.891109,-47.798191,-104.891109,-47.798191,0.000000,0.000000
SX2786266A,93.273672,-65.784906,93.273672,-65.784906,0.000000,0.000000
SX2917333A,92.726823,-65.862042,92.726823,-65.862042,0.000000,0.000000
SX2842383A,92.781646,-65.926828,92.781646,-65.926828,0.000000,0.000000
SX2842384C,10.378106,116.860500,10.378106,116.860500,0.000000,0.000000
SX3160871C,10.563937,116.387759,10.563937,116.387759,0.000000,0.000000
SX3030203C,10.565089,116.380824,10.565089,116.380824,0.000000,0.000000
SX3179673C,10.621945,116.638149,10.621945,116.638149,0.000000,0.000000
SX3048965B,-104.102228,-45.059141,-104.102228,-45.059141,0.000000,0.000000
SX2692660A,90.251470,-65.961812,90.251470,-65.961812,0.000000,0.000000
SX2805034A,91.989284,-66.390480,91.989284,-66.390480,0.000000,0.000000
SX2898522A,93.126410,-65.733345,93.126410,-65.733345,0.000000,0.000000
SX2692661A,93.131245,-65.735147,93.131245,-65.735147,0.000000,0.000000
SX3067448C,6.207648,116.214007,6.207648,116.214007,0.000000,0.000000
SX2935552C,13.520494,114.570445,13.520494,114.570445,0.000000,0.000000
SX2822864C,13.602643,113.969425,13.602643,113.969425,0.000000,0.000000
SX2822865C,13.635063,114.105326,13.635063,114.105326,0.000000,0.000000
SX2916605C,13.600862,113.982267,13.600862,113.982267,0.000000,0.000000
SX3085394C,13.601229,113.979620,13.601229,113.979620,0.000000,0.000000
SX2804250C,13.550568,113.608135,13.550568,113.608135,0.000000,0.000000
SX3048205C,13.585776,113.348163,13.585776,113.348163,0.000000,0.000000
SX3048228C,13.618371,113.105713,13.618371,113.105713,0.000000,0.000000
SX2935550C,13.637769,112.957521,13.637769,112.957521,0.000000,0.000000
SX2710509C,13.704528,113.215362,13.704528,113.215362,0.000000,0.000000
SX2822862C,13.704947,113.212065,13.704947,113.212065,0.000000,0.000000
SX3066806C,13.705372,113.210672,13.705372,113.210672,0.000000,0.000000
SX2916606C,13.602389,113.971257,13.602389,113.971257,0.000000,0.000000
SX3235243C,19.054015,111.940967,19.054015,111.940967,0.000000,0.000000
SX2786273B,-108.476150,-42.738265,-108.476150,-42.738265,0.000000,0.000000
SX2805036B,-108.836111,-42.826038,-108.836111,-42.826038,0.000000,0.000000
SX3178997C,16.752784,114.070356,16.752784,114.070356,0.000000,0.000000
SX3122849B,-104.498312,-38.102446,-104.498312,-38.102446,0.000000,0.000000
SX2766750C,16.608309,113.458312,16.608309,113.458312,0.000000,0.000000
SX2763153A,87.753884,-70.189242,87.753884,-70.189242,0.000000,0.000000
SX3104157C,16.712289,113.775928,16.712289,113.775928,0.000000,0.000000
SX_293471A,87.962085,-70.395519,87.962085,-70.395519,0.000000,0.000000
SX_293471B,-104.847645,-38.455362,-104.847645,-38.455362,0.000000,0.000000
SX_293471C,16.726505,113.774382,16.726505,113.774382,0.000000,0.000000
SX2748158A,88.596745,-70.593423,88.596745,-70.593423,0.000000,0.000000
SX3104133A,88.140454,-70.592751,88.140454,-70.592751,0.000000,0.000000
SX2673346C,16.738101,113.839924,16.738101,113.839924,0.000000,0.000000
SX3254238B,-104.969844,-38.528636,-104.969844,-38.528636,0.000000,0.000000
SX3048230C,16.734273,113.706214,16.734273,113.706214,0.000000,0.000000
SX2841637C,16.738247,113.669899,16.738247,113.669899,0.000000,0.000000
SX2897780B,-105.519745,-38.860683,-105.519745,-38.860683,0.000000,0.000000
SX3235255B,-105.978267,-38.944289,-105.978267,-38.944289,0.000000,0.000000
SX3216370A,88.523927,-70.945942,88.523927,-70.945942,0.000000,0.000000
SX3216370B,-105.774106,-38.870473,-105.774106,-38.870473,0.000000,0.000000
SX3216370C,16.862695,114.297018,16.862695,114.297018,0.000000,0.000000
SX2785527A,88.704192,-70.682358,88.704192,-70.682358,0.000000,0.000000
SX2766729A,88.283269,-70.697469,88.283269,-70.697469,0.000000,0.000000
SX3197641A,83.671279,-77.401618,83.671279,-77.401618,0.000000,0.000000
SX2973161A,83.059058,-77.156830,83.059058,-77.156830,0.000000,0.000000
SX2673306C,13.759604,112.042420,13.759604,112.042420,0.000000,0.000000
SX2785515C,13.761782,112.021531,13.761782,112.021531,0.000000,0.000000
SX2729429A,82.884526,-77.162970,82.884526,-77.162970,0.000000,0.000000
SX2841633A,82.880064,-77.162080,82.880064,-77.162080,0.000000,0.000000
SX3235258A,82.965891,-76.976220,82.965891,-76.976220,0.000000,0.000000
SX3235258B,-110.732549,-29.961582,-110.732549,-29.961582,0.000000,0.000000
SX3235258C,17.286334,113.002774,17.286334,113.002774,0.000000,0.000000
SX2729414A,82.127200,-76.713598,82.127200,-76.713598,0.000000,0.000000
SX2729414B,-111.010330,-30.016123,-111.010330,-30.016123,0.000000,0.000000
SX2729414C,17.134613,112.469102,17.134613,112.469102,0.000000,0.000000
SX2973167B,-111.229595,-30.058161,-111.229595,-30.058161,0.000000,0.000000
SX3189189B,-111.203050,-30.058167,-111.203050,-30.058167,0.000000,0.000000
SX3189188C,16.892031,111.530099,16.892031,111.530099,0.000000,0.000000
SX2935560C,17.145388,112.404216,17.145388,112.404216,0.000000,0.000000
SX2916610B,-110.931691,-30.024135,-110.931691,-30.024135,0.000000,0.000000
SX3216368C,17.145178,112.401770,17.145178,112.401770,0.000000,0.000000
SX3207907A,81.397790,-76.039852,81.397790,-76.039852,0.000000,0.000000
SX3207907B,-109.642144,-29.836083,-109.642144,-29.836083,0.000000,0.000000
SX3207907C,16.890406,111.517525,16.890406,111.517525,0.000000,0.000000
SX2973166C,17.065382,112.092318,17.065382,112.092318,0.000000,0.000000
SX2710532C,17.177103,112.488567,17.177103,112.488567,0.000000,0.000000
SX2860504A,82.087367,-76.483387,82.087367,-76.483387,0.000000,0.000000
SX3085403A,81.648816,-76.461634,81.648816,-76.461634,0.000000,0.000000
SX2954355A,82.127043,-76.491091,82.127043,-76.491091,0.000000,0.000000
SX3122827A,81.744481,-76.496712,81.744481,-76.496712,0.000000,0.000000
SX3195751A,82.349013,-77.712179,82.349013,-77.712179,0.000000,0.000000
SX2766724C,17.417862,113.453072,17.417862,113.453072,0.000000,0.000000
SX3197647A,83.110415,-77.436516,83.110415,-77.436516,0.000000,0.000000
SX2821010A,82.171008,-77.487653,82.171008,-77.487653,0.000000,0.000000
SX2895461A,82.379271,-77.729101,82.379271,-77.729101,0.000000,0.000000
SX2952014A,82.825396,-77.762193,82.825396,-77.762193,0.000000,0.000000
SX3010585A,82.220949,-77.515252,82.220949,-77.515252,0.000000,0.000000
SX3120502A,82.817707,-77.757973,82.817707,-77.757973,0.000000,0.000000
SX3101789A,81.430845,-76.943169,81.430845,-76.943169,0.000000,0.000000
SX3178982A,81.374720,-76.912301,81.374720,-76.912301,0.000000,0.000000
SX2841623A,81.785102,-76.923773,81.785102,-76.923773,0.000000,0.000000
SX3010563A,81.786256,-76.924180,81.786256,-76.924180,0.000000,0.000000
SX2766727B,-103.726250,-37.562196,-103.726250,-37.562196,0.000000,0.000000
SX3029507B,-103.463553,-37.502269,-103.463553,-37.502269,0.000000,0.000000
SX3197643B,-103.468618,-37.506389,-103.468618,-37.506389,0.000000,0.000000
SX3122823B,-103.494310,-37.524088,-103.494310,-37.524088,0.000000,0.000000
SX2766726B,-103.883917,-37.670588,-103.883917,-37.670588,0.000000,0.000000
SX2785526B,-103.881973,-37.669238,-103.881973,-37.669238,0.000000,0.000000
SX2973162B,-104.054802,-37.786081,-104.054802,-37.786081,0.000000,0.000000
SX3010570A,87.789962,-69.798989,87.789962,-69.798989,0.000000,0.000000
SX2991919A,87.728871,-69.770057,87.728871,-69.770057,0.000000,0.000000
SX3122824A,87.655187,-69.736725,87.655187,-69.736725,0.000000,0.000000
SX2860489A,87.655251,-69.736754,87.655251,-69.736754,0.000000,0.000000
SX3104131A,87.198393,-69.738427,87.198393,-69.738427,0.000000,0.000000
SX3048210A,86.959868,-69.508189,86.959868,-69.508189,0.000000,0.000000
SX2897778A,87.388523,-69.970944,87.388523,-69.970944,0.000000,0.000000
SX3104132A,87.530302,-69.680101,87.530302,-69.680101,0.000000,0.000000
SX3085402A,86.876848,-69.470403,86.876848,-69.470403,0.000000,0.000000
SX2804252A,87.075900,-69.682988,87.075900,-69.682988,0.000000,0.000000
SX3048214A,87.071228,-69.680906,87.071228,-69.680906,0.000000,0.000000
SX3235275B,-104.005924,-37.877374,-104.005924,-37.877374,0.000000,0.000000
SX2897779C,16.682454,113.797445,16.682454,113.797445,0.000000,0.000000
SX2804261C,16.754903,114.051303,16.754903,114.051303,0.000000,0.000000
SX3178980C,16.755224,114.048418,16.755224,114.048418,0.000000,0.000000
SX2973164A,87.386846,-69.970196,87.386846,-69.970196,0.000000,0.000000
SX2748132A,81.176353,-75.972715,81.176353,-75.972715,0.000000,0.000000
SX3254205C,16.741667,113.659653,16.741667,113.659653,0.000000,0.000000
SX3010569A,87.893716,-70.359874,87.893716,-70.359874,0.000000,0.000000
SX2673321A,88.086314,-70.567826,88.086314,-70.567826,0.000000,0.000000
SX2954354A,88.088579,-70.568853,88.088579,-70.568853,0.000000,0.000000
SX2710519A,88.333024,-70.824609,88.333024,-70.824609,0.000000,0.000000
SX3066819A,88.078811,-70.564503,88.078811,-70.564503,0.000000,0.000000
SX3029499A,88.327801,-70.822289,88.327801,-70.822289,0.000000,0.000000
SX2897772A,88.498297,-70.548414,88.498297,-70.548414,0.000000,0.000000
SX3122826A,88.642998,-70.986737,88.642998,-70.986737,0.000000,0.000000
SX2691953A,88.901920,-70.843505,88.901920,-70.843505,0.000000,0.000000
SX2860491A,88.811088,-71.175500,88.811088,-71.175500,0.000000,0.000000
SX2860491B,-105.408170,-38.915086,-105.408170,-38.915086,0.000000,0.000000
SX2991922A,89.153984,-71.041415,89.153984,-71.041415,0.000000,0.000000
SX2991923A,88.792545,-71.103719,88.792545,-71.103719,0.000000,0.000000
SX3085400C,15.783750,113.733461,15.783750,113.733461,0.000000,0.000000
SX3141399C,15.694702,113.412614,15.694702,113.412614,0.000000,0.000000
SX2954351C,15.851154,114.011161,15.851154,114.011161,0.000000,0.000000
SX3235266C,15.773674,113.819084,15.773674,113.819084,0.000000,0.000000
SX2841626C,15.874181,114.249559,15.874181,114.249559,0.000000,0.000000
SX2954350C,15.839131,114.116146,15.839131,114.116146,0.000000,0.000000
SX3178977C,15.832452,114.172145,15.832452,114.172145,0.000000,0.000000
SX3160105C,15.832874,114.168610,15.832874,114.168610,0.000000,0.000000
SX2691945C,15.751824,114.004400,15.751824,114.004400,0.000000,0.000000
SX3010567C,15.821697,114.262276,15.821697,114.262276,0.000000,0.000000
SX2841625C,15.876369,114.231296,15.876369,114.231296,0.000000,0.000000
SX2897776C,15.781766,113.744797,15.781766,113.744797,0.000000,0.000000
SX3254215C,15.852572,114.002226,15.852572,114.002226,0.000000,0.000000
SX3122819C,15.694652,113.416739,15.694652,113.416739,0.000000,0.000000
SX2748133C,15.851851,114.003908,15.851851,114.003908,0.000000,0.000000
SX3085399C,15.852131,114.001447,15.852131,114.001447,0.000000,0.000000
SX2879074A,81.659238,-76.237649,81.659238,-76.237649,0.000000,0.000000
SX3122820A,81.230997,-76.219621,81.230997,-76.219621,0.000000,0.000000
SX2710517A,81.689515,-76.252850,81.689515,-76.252850,0.000000,0.000000
SX3197639A,81.315494,-76.263651,81.315494,-76.263651,0.000000,0.000000
