t, 1_1_angle, 1_1_speed, 2_1_angle, 2_1_speed, 3_1_angle, 3_1_speed
  0.2300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.3900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.4900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.5900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.6900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.7900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.8900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.9900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.0900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.1900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.2900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.3900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.4900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.5900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.6900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.7900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.8900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  1.9900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  2.0000, 0.359622, 1.000122, 0.953634, 1.000569, 0.615487, 1.000705
  2.0100, 0.360542, 1.000366, 0.957922, 1.001705, 0.620802, 1.002113
  2.0200, 0.362381, 1.000609, 0.966484, 1.002836, 0.631415, 1.003516
  2.0300, 0.365135, 1.000852, 0.979304, 1.003964, 0.647311, 1.004915
  2.0400, 0.368804, 1.001094, 0.996364, 1.005086, 0.668473, 1.006310
  2.0500, 0.372952, 1.001108, 1.015506, 1.005069, 0.692168, 1.006258
  2.0600, 0.377163, 1.001128, 1.034583, 1.005052, 0.715643, 1.006193
  2.0700, 0.381460, 1.001154, 1.053594, 1.005034, 0.738856, 1.006119
  2.0800, 0.385866, 1.001186, 1.072541, 1.005017, 0.761767, 1.006034
  2.0900, 0.390405, 1.001224, 1.091422, 1.005000, 0.784340, 1.005939
  2.1000, 0.395099, 1.001268, 1.110240, 1.004983, 0.806541, 1.005836
  2.1100, 0.399969, 1.001317, 1.128993, 1.004966, 0.828336, 1.005725
  2.1200, 0.405037, 1.001373, 1.147684, 1.004950, 0.849699, 1.005606
  2.1300, 0.410325, 1.001434, 1.166313, 1.004933, 0.870602, 1.005481
  2.1400, 0.415852, 1.001500, 1.184880, 1.004917, 0.891021, 1.005350
  2.1500, 0.421637, 1.001571, 1.203387, 1.004901, 0.910938, 1.005214
  2.1600, 0.427699, 1.001647, 1.221834, 1.004885, 0.930334, 1.005074
  2.1700, 0.434056, 1.001727, 1.240221, 1.004869, 0.949195, 1.004931
  2.1800, 0.440725, 1.001812, 1.258548, 1.004854, 0.967509, 1.004785
  2.1900, 0.447721, 1.001901, 1.276816, 1.004838, 0.985267, 1.004636
  2.2000, 0.455061, 1.001994, 1.295025, 1.004822, 1.002465, 1.004487
  2.2100, 0.462757, 1.002090, 1.313173, 1.004806, 1.019099, 1.004337
  2.2200, 0.470823, 1.002190, 1.331260, 1.004790, 1.035168, 1.004188
  2.2300, 0.479272, 1.002293, 1.349285, 1.004773, 1.050676, 1.004040
  2.2400, 0.488113, 1.002399, 1.367246, 1.004756, 1.065627, 1.003893
  2.2500, 0.497359, 1.002507, 1.385141, 1.004738, 1.080029, 1.003748
  2.2600, 0.507016, 1.002617, 1.402969, 1.004720, 1.093893, 1.003607
  2.2700, 0.517095, 1.002730, 1.420726, 1.004701, 1.107230, 1.003469
  2.2800, 0.527600, 1.002844, 1.438410, 1.004681, 1.120056, 1.003336
  2.2900, 0.538540, 1.002960, 1.456017, 1.004660, 1.132387, 1.003207
  2.3000, 0.549917, 1.003077, 1.473544, 1.004638, 1.144242, 1.003084
  2.3100, 0.561737, 1.003194, 1.490986, 1.004615, 1.155644, 1.002966
  2.3200, 0.574002, 1.003313, 1.508339, 1.004591, 1.166614, 1.002855
  2.3300, 0.586713, 1.003431, 1.525599, 1.004565, 1.177178, 1.002751
  2.3400, 0.599872, 1.003550, 1.542761, 1.004539, 1.187361, 1.002654
  2.3500, 0.613479, 1.003669, 1.559819, 1.004510, 1.197193, 1.002564
  2.3600, 0.627532, 1.003787, 1.576767, 1.004481, 1.206702, 1.002483
  2.3700, 0.642029, 1.003904, 1.593602, 1.004450, 1.215919, 1.002409
  2.3800, 0.656968, 1.004021, 1.610316, 1.004417, 1.224877, 1.002345
  2.3900, 0.672344, 1.004136, 1.626903, 1.004383, 1.233608, 1.002289
  2.4000, 0.688153, 1.004250, 1.643358, 1.004347, 1.242146, 1.002243
  2.4100, 0.704389, 1.004363, 1.659675, 1.004309, 1.250527, 1.002206
  2.4200, 0.721045, 1.004473, 1.675847, 1.004270, 1.258786, 1.002178
  2.4300, 0.738115, 1.004582, 1.691868, 1.004229, 1.266958, 1.002160
  2.4400, 0.755591, 1.004688, 1.707732, 1.004187, 1.275081, 1.002152
  2.4500, 0.773463, 1.004793, 1.723433, 1.004143, 1.283190, 1.002153
  2.4600, 0.791723, 1.004894, 1.738965, 1.004097, 1.291322, 1.002164
  2.4700, 0.810360, 1.004993, 1.754322, 1.004050, 1.299514, 1.002184
  2.4800, 0.829365, 1.005089, 1.769498, 1.004001, 1.307801, 1.002214
  2.4900, 0.848725, 1.005182, 1.784489, 1.003951, 1.316219, 1.002254
  2.5000, 0.868430, 1.005271, 1.799288, 1.003900, 1.324803, 1.002302
  2.5100, 0.888467, 1.005358, 1.813892, 1.003847, 1.333587, 1.002360
  2.5200, 0.908823, 1.005441, 1.828295, 1.003793, 1.342603, 1.002426
  2.5300, 0.929485, 1.005520, 1.842492, 1.003738, 1.351883, 1.002500
  2.5400, 0.950440, 1.005596, 1.856481, 1.003683, 1.361458, 1.002582
  2.5500, 0.971674, 1.005668, 1.870257, 1.003626, 1.371356, 1.002671
  2.5600, 0.993173, 1.005736, 1.883817, 1.003568, 1.381605, 1.002767
  2.5700, 1.014922, 1.005801, 1.897160, 1.003510, 1.392228, 1.002870
  2.5800, 1.036907, 1.005861, 1.910281, 1.003451, 1.403248, 1.002978
  2.5900, 1.059113, 1.005918, 1.923181, 1.003392, 1.414687, 1.003092
  2.6000, 1.081524, 1.005971, 1.935858, 1.003333, 1.426563, 1.003210
  2.6100, 1.104127, 1.006019, 1.948310, 1.003274, 1.438891, 1.003331
  2.6200, 1.126904, 1.006064, 1.960539, 1.003214, 1.451684, 1.003456
  2.6300, 1.149841, 1.006104, 1.972545, 1.003155, 1.464953, 1.003584
  2.6400, 1.172922, 1.006140, 1.984330, 1.003097, 1.478706, 1.003713
  2.6500, 1.196132, 1.006172, 1.995895, 1.003039, 1.492946, 1.003842
  2.6600, 1.219455, 1.006200, 2.007244, 1.002982, 1.507676, 1.003972
  2.6700, 1.242875, 1.006224, 2.018379, 1.002926, 1.522895, 1.004101
  2.6800, 1.266377, 1.006243, 2.029306, 1.002871, 1.538598, 1.004229
  2.6900, 1.289946, 1.006259, 2.040030, 1.002818, 1.554778, 1.004354
  2.7000, 1.313565, 1.006270, 2.050555, 1.002767, 1.571425, 1.004476
  2.7100, 1.337221, 1.006278, 2.060890, 1.002717, 1.588525, 1.004595
  2.7200, 1.360896, 1.006281, 2.071042, 1.002669, 1.606064, 1.004709
  2.7300, 1.384577, 1.006281, 2.081020, 1.002624, 1.624022, 1.004817
  2.7400, 1.408248, 1.006276, 2.090832, 1.002582, 1.642378, 1.004920
  2.7500, 1.431894, 1.006268, 2.100490, 1.002542, 1.661108, 1.005015
  2.7600, 1.455502, 1.006256, 2.110004, 1.002506, 1.680186, 1.005104
  2.7700, 1.479056, 1.006239, 2.119386, 1.002473, 1.699584, 1.005185
  2.7800, 1.502543, 1.006220, 2.128650, 1.002443, 1.719270, 1.005257
  2.7900, 1.525948, 1.006196, 2.137809, 1.002417, 1.739213, 1.005321
  2.8000, 1.549258, 1.006169, 2.146878, 1.002395, 1.759379, 1.005375
  2.8100, 1.572459, 1.006139, 2.155871, 1.002377, 1.779733, 1.005420
  2.8200, 1.595538, 1.006105, 2.164806, 1.002364, 1.800237, 1.005455
  2.8300, 1.618483, 1.006067, 2.173699, 1.002355, 1.820855, 1.005480
  2.8400, 1.641280, 1.006026, 2.182566, 1.002351, 1.841548, 1.005495
  2.8500, 1.663917, 1.005982, 2.191427, 1.002351, 1.862278, 1.005500
  2.8600, 1.686383, 1.005935, 2.200298, 1.002357, 1.883005, 1.005494
  2.8700, 1.708666, 1.005885, 2.209199, 1.002367, 1.903692, 1.005478
  2.8800, 1.730754, 1.005832, 2.218149, 1.002382, 1.924299, 1.005452
  2.8900, 1.752636, 1.005776, 2.227167, 1.002403, 1.944790, 1.005416
  2.9000, 1.774302, 1.005717, 2.236272, 1.002429, 1.965126, 1.005370
  2.9100, 1.795742, 1.005656, 2.245482, 1.002459, 1.985272, 1.005315
  2.9200, 1.816945, 1.005592, 2.254818, 1.002495, 2.005193, 1.005251
  2.9300, 1.837903, 1.005526, 2.264298, 1.002536, 2.024855, 1.005178
  2.9400, 1.858606, 1.005457, 2.273940, 1.002581, 2.044227, 1.005097
  2.9500, 1.879044, 1.005386, 2.283763, 1.002631, 2.063280, 1.005009
  2.9600, 1.899211, 1.005313, 2.293782, 1.002686, 2.081985, 1.004913
  2.9700, 1.919098, 1.005237, 2.304016, 1.002745, 2.100317, 1.004811
  2.9800, 1.938697, 1.005160, 2.314480, 1.002808, 2.118252, 1.004703
  2.9900, 1.958002, 1.005081, 2.325188, 1.002874, 2.135769, 1.004590
  3.0000, 1.977005, 1.005000, 2.336154, 1.002945, 2.152852, 1.004472
  3.0100, 1.995700, 1.004918, 2.347392, 1.003018, 2.169483, 1.004350
  3.0200, 2.014082, 1.004834, 2.358912, 1.003094, 2.185650, 1.004226
  3.0300, 2.032145, 1.004749, 2.370725, 1.003173, 2.201344, 1.004099
  3.0400, 2.049884, 1.004662, 2.382840, 1.003254, 2.216556, 1.003971
  3.0500, 2.067295, 1.004574, 2.395263, 1.003337, 2.231284, 1.003842
  3.0600, 2.084372, 1.004486, 2.408002, 1.003421, 2.245525, 1.003713
  3.0700, 2.101114, 1.004396, 2.421061, 1.003507, 2.259281, 1.003585
  3.0800, 2.117516, 1.004305, 2.434442, 1.003592, 2.272557, 1.003459
  3.0900, 2.133576, 1.004214, 2.448147, 1.003678, 2.285360, 1.003334
  3.1000, 2.149291, 1.004123, 2.462176, 1.003764, 2.297700, 1.003213
  3.1100, 2.164661, 1.004031, 2.476528, 1.003849, 2.309591, 1.003096
  3.1200, 2.179682, 1.003938, 2.491200, 1.003934, 2.321048, 1.002983
  3.1300, 2.194355, 1.003846, 2.506186, 1.004017, 2.332090, 1.002876
  3.1400, 2.208679, 1.003753, 2.521482, 1.004098, 2.342738, 1.002774
  3.1500, 2.222655, 1.003661, 2.537080, 1.004177, 2.353014, 1.002679
  3.1600, 2.236282, 1.003569, 2.552971, 1.004253, 2.362945, 1.002591
  3.1700, 2.249562, 1.003477, 2.569145, 1.004327, 2.372558, 1.002511
  3.1800, 2.262498, 1.003386, 2.585593, 1.004398, 2.381882, 1.002438
  3.1900, 2.275090, 1.003295, 2.602300, 1.004465, 2.390950, 1.002375
  3.2000, 2.287341, 1.003205, 2.619256, 1.004529, 2.399794, 1.002320
  3.2100, 2.299256, 1.003116, 2.636445, 1.004589, 2.408449, 1.002274
  3.2200, 2.310837, 1.003028, 2.653853, 1.004645, 2.416950, 1.002238
  3.2300, 2.322088, 1.002941, 2.671466, 1.004697, 2.425333, 1.002212
  3.2400, 2.333015, 1.002856, 2.689266, 1.004745, 2.433636, 1.002196
  3.2500, 2.343623, 1.002772, 2.707237, 1.004788, 2.441897, 1.002189
  3.2600, 2.353918, 1.002690, 2.725364, 1.004827, 2.450154, 1.002193
  3.2700, 2.363905, 1.002609, 2.743629, 1.004861, 2.458444, 1.002207
  3.2800, 2.373593, 1.002531, 2.762014, 1.004891, 2.466805, 1.002231
  3.2900, 2.382988, 1.002454, 2.780503, 1.004916, 2.475275, 1.002265
